method,document_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention,ocr_token_count,latency_ms
OCR + regex masking,51,valid,4,5,1,4,3,87.0,0.478,10,315.3
OCR + generic de-identification,51,valid,4,5,1,4,3,87.0,0.478,10,315.3
OCR + Presidio receipt de-identification,51,valid,4,6,2,4,2,41.3,0.478,10,315.3
OCR + spaCy receipt de-identification,51,valid,4,8,4,4,0,0.0,0.478,10,315.3
Proposed multimodal mediation,51,valid,4,7,3,4,1,6.5,0.478,10,315.3
Raw OCR text prompt,52,valid,3,0,0,0,3,100.0,1.000,13,392.8
OCR + regex masking,52,valid,3,6,0,6,3,100.0,0.528,13,392.8
OCR + generic de-identification,52,valid,3,6,0,6,3,100.0,0.528,13,392.8
OCR + Presidio receipt de-identification,52,valid,3,6,0,6,3,100.0,0.528,13,392.8
OCR + spaCy receipt de-identification,52,valid,3,11,2,9,1,33.3,0.292,13,392.8
Proposed multimodal mediation,52,valid,3,9,3,6,0,0.0,0.528,13,392.8
Raw OCR text prompt,53,valid,4,0,0,0,4,100.0,1.000,12,302.9
OCR + regex masking,53,valid,4,5,0,5,4,100.0,0.508,12,302.9
OCR + generic de-identification,53,valid,4,7,2,5,2,51.5,0.508,12,302.9
OCR + Presidio receipt de-identification,53,valid,4,6,1,5,3,84.8,0.508,12,302.9
OCR + spaCy receipt de-identification,53,valid,4,8,2,6,2,48.5,0.390,12,302.9
Proposed multimodal mediation,53,valid,4,10,3,7,1,36.4,0.305,12,302.9
Raw OCR text prompt,54,valid,2,0,0,0,2,100.0,1.000,13,253.7
OCR + regex masking,54,valid,2,5,0,5,2,100.0,0.634,13,253.7
OCR + generic de-identification,54,valid,2,5,0,5,2,100.0,0.634,13,253.7
